,probe_id,gene_id,is_multiple,accession,gene_name,symbol
192,210434_x_at,10899,0,AF151056,jumping translocation breakpoint,JTB
193,210927_x_at,10899,0,BC004239,jumping translocation breakpoint,JTB
194,200049_at,11143,0,NM_007067,lysine acetyltransferase 7,KAT7
195,200050_at,7705,0,NM_007145,zinc finger protein 146,ZNF146
196,200051_at,9092,0,NM_005146,squamous cell carcinoma antigen recognized by T-cells 1,SART1
197,200052_s_at,3608,0,NM_004515,interleukin enhancer binding factor 2,ILF2
198,200053_at,9552,0,NM_004890,sperm associated antigen 7,SPAG7
199,200054_at,8882,0,NM_003904,ZPR1 zinc finger,ZPR1
200,217185_s_at,8882,1,Z95118,ZPR1 zinc finger,ZPR1
201,200055_at,6881,0,NM_006284,TATA-box binding protein associated factor 10,TAF10
202,200056_s_at,10438,0,NM_006333,C1D nuclear receptor corepressor,C1D
203,200057_s_at,4841,0,NM_007363,"non-POU domain containing, octamer-binding",NONO
204,208698_s_at,4841,0,L14599,"non-POU domain containing, octamer-binding",NONO
205,210470_x_at,4841,0,BC003129,"non-POU domain containing, octamer-binding",NONO
206,200058_s_at,23020,1,BC001417,small nuclear ribonucleoprotein U5 subunit 200,SNRNP200
207,214982_at,23020,1,AK021418,small nuclear ribonucleoprotein U5 subunit 200,SNRNP200
208,217114_at,23020,1,Z70200,small nuclear ribonucleoprotein U5 subunit 200,SNRNP200
209,200058_s_at,101929240,1,BC001417,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene,LOC101929240
210,214982_at,101929240,1,AK021418,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene,LOC101929240
211,217114_at,101929240,1,Z70200,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene,LOC101929240
212,200059_s_at,387,0,BC001360,ras homolog family member A,RHOA
213,200060_s_at,10921,0,BC001659,RNA binding protein with serine rich domain 1,RNPS1
214,207939_x_at,10921,0,NM_006711,RNA binding protein with serine rich domain 1,RNPS1
215,200061_s_at,6229,0,BC000523,ribosomal protein S24,RPS24
216,200062_s_at,6156,0,L05095,ribosomal protein L30,RPL30
217,200063_s_at,4869,0,BC002398,nucleophosmin,NPM1
218,221691_x_at,4869,0,AB042278,nucleophosmin,NPM1
219,221923_s_at,4869,0,AA191576,nucleophosmin,NPM1
220,200064_at,3326,0,AF275719,heat shock protein 90 alpha family class B member 1,HSP90AB1
221,214359_s_at,3326,0,AI218219,heat shock protein 90 alpha family class B member 1,HSP90AB1
222,200065_s_at,375,1,AF052179,ADP ribosylation factor 1,ARF1
223,208750_s_at,375,1,AA580004,ADP ribosylation factor 1,ARF1
224,200065_s_at,100500810,1,AF052179,microRNA 3620,MIR3620
225,208750_s_at,100500810,1,AA580004,microRNA 3620,MIR3620
226,200066_at,3550,0,AF182645,"IK cytokine, down-regulator of HLA II",IK
227,209223_at,3550,1,BF434335,"IK cytokine, down-regulator of HLA II",IK
228,213550_s_at,3550,1,AA993683,"IK cytokine, down-regulator of HLA II",IK
229,200067_x_at,8724,0,AL078596,sorting nexin 3,SNX3
230,208781_x_at,8724,0,AF062483,sorting nexin 3,SNX3
231,210648_x_at,8724,0,AB047360,sorting nexin 3,SNX3
232,213545_x_at,8724,0,BE962615,sorting nexin 3,SNX3
233,200068_s_at,821,0,M94859,calnexin,CANX
234,208852_s_at,821,0,AI761759,calnexin,CANX
235,208853_s_at,821,0,L18887,calnexin,CANX
236,200069_at,9733,0,AI656011,squamous cell carcinoma antigen recognized by T-cells 3,SART3
237,209127_s_at,9733,0,AW173076,squamous cell carcinoma antigen recognized by T-cells 3,SART3
238,209128_s_at,9733,0,D63879,squamous cell carcinoma antigen recognized by T-cells 3,SART3
239,200070_at,27013,0,BC001393,cyclin Pas1/PHO80 domain containing 1,CNPPD1
240,207511_s_at,27013,0,NM_015680,cyclin Pas1/PHO80 domain containing 1,CNPPD1
241,200071_at,10285,0,BF224259,survival motor neuron domain containing 1,SMNDC1
242,200072_s_at,4670,0,AF061832,heterogeneous nuclear ribonucleoprotein M,HNRNPM
243,214918_at,4670,0,AK024911,heterogeneous nuclear ribonucleoprotein M,HNRNPM
244,200073_s_at,3184,0,M94630,heterogeneous nuclear ribonucleoprotein D,HNRNPD
245,205183_at,3184,0,NM_002138,heterogeneous nuclear ribonucleoprotein D,HNRNPD
246,209330_s_at,3184,0,D55674,heterogeneous nuclear ribonucleoprotein D,HNRNPD
247,213359_at,3184,0,W74620,heterogeneous nuclear ribonucleoprotein D,HNRNPD
248,221480_at,3184,0,BG180941,heterogeneous nuclear ribonucleoprotein D,HNRNPD
249,221481_x_at,3184,0,D55672,heterogeneous nuclear ribonucleoprotein D,HNRNPD
250,200074_s_at,9045,0,U16738,ribosomal protein L14,RPL14
251,213588_x_at,9045,0,AA838274,ribosomal protein L14,RPL14
252,219138_at,9045,0,BC000606,ribosomal protein L14,RPL14
253,200075_s_at,2987,0,BC006249,guanylate kinase 1,GUK1
254,213621_s_at,2987,0,AW182892,guanylate kinase 1,GUK1
255,200076_s_at,79036,0,BC006479,KxDL motif containing 1,KXD1
256,218054_s_at,79036,0,BC001080,KxDL motif containing 1,KXD1
257,200077_s_at,4946,0,D87914,ornithine decarboxylase antizyme 1,OAZ1
258,215947_s_at,4946,1,AF090094,ornithine decarboxylase antizyme 1,OAZ1
259,215952_s_at,4946,0,AF090094,ornithine decarboxylase antizyme 1,OAZ1
260,200078_s_at,533,0,BC005876,ATPase H+ transporting V0 subunit b,ATP6V0B
261,200079_s_at,3735,0,AF285758,lysyl-tRNA synthetase,KARS
262,200840_at,3735,0,NM_005548,lysyl-tRNA synthetase,KARS
263,200080_s_at,3020,1,AI955655,H3 histone family member 3A,H3F3A
264,208755_x_at,3020,1,BF312331,H3 histone family member 3A,H3F3A
265,209069_s_at,3020,1,BC001124,H3 histone family member 3A,H3F3A
266,211940_x_at,3020,1,BE869922,H3 histone family member 3A,H3F3A
267,211997_x_at,3020,1,NM_005324,H3 histone family member 3A,H3F3A
268,211998_at,3020,1,AW138159,H3 histone family member 3A,H3F3A
269,211999_at,3020,1,Z48950,H3 histone family member 3A,H3F3A
270,213826_s_at,3020,0,AA292281,H3 histone family member 3A,H3F3A
271,213828_x_at,3020,1,AA477655,H3 histone family member 3A,H3F3A
272,200080_s_at,3021,1,AI955655,H3 histone family member 3B,H3F3B
273,208755_x_at,3021,1,BF312331,H3 histone family member 3B,H3F3B
274,209069_s_at,3021,1,BC001124,H3 histone family member 3B,H3F3B
275,211940_x_at,3021,1,BE869922,H3 histone family member 3B,H3F3B
276,211997_x_at,3021,1,NM_005324,H3 histone family member 3B,H3F3B
277,211998_at,3021,1,AW138159,H3 histone family member 3B,H3F3B
278,211999_at,3021,1,Z48950,H3 histone family member 3B,H3F3B
279,213828_x_at,3021,1,AA477655,H3 histone family member 3B,H3F3B
280,200080_s_at,440926,1,AI955655,"H3 histone, family 3A, pseudogene 4",H3F3AP4
281,208755_x_at,440926,1,BF312331,"H3 histone, family 3A, pseudogene 4",H3F3AP4
282,211940_x_at,440926,1,BE869922,"H3 histone, family 3A, pseudogene 4",H3F3AP4
283,213828_x_at,440926,1,AA477655,"H3 histone, family 3A, pseudogene 4",H3F3AP4
284,200081_s_at,6194,0,BE741754,ribosomal protein S6,RPS6
285,201254_x_at,6194,0,NM_001010,ribosomal protein S6,RPS6
286,209134_s_at,6194,0,BC000524,ribosomal protein S6,RPS6
287,211690_at,6194,0,AF274945,ribosomal protein S6,RPS6
288,200082_s_at,6201,0,AI805587,ribosomal protein S7,RPS7
289,213941_x_at,6201,0,AI970731,ribosomal protein S7,RPS7
290,200083_at,23326,0,AA621731,ubiquitin specific peptidase 22,USP22
291,216957_at,23326,0,AL162082,ubiquitin specific peptidase 22,USP22
292,216964_at,23326,0,AL162082,ubiquitin specific peptidase 22,USP22
293,220861_at,23326,0,AF118067,ubiquitin specific peptidase 22,USP22
294,200084_at,10944,0,BE748698,chromosome 11 open reading frame 58,C11orf58
295,201784_s_at,10944,0,NM_014267,chromosome 11 open reading frame 58,C11orf58
296,200085_s_at,6923,0,NM_007108,transcription elongation factor B subunit 2,TCEB2
297,213877_x_at,6923,0,AI568533,transcription elongation factor B subunit 2,TCEB2
298,200086_s_at,1327,0,AA854966,cytochrome c oxidase subunit 4I1,COX4I1
299,202698_x_at,1327,0,NM_001861,cytochrome c oxidase subunit 4I1,COX4I1
300,213758_at,1327,0,AW337510,cytochrome c oxidase subunit 4I1,COX4I1
301,200087_s_at,10959,0,AK024976,transmembrane p24 trafficking protein 2,TMED2
302,204426_at,10959,0,NM_006815,transmembrane p24 trafficking protein 2,TMED2
303,204427_s_at,10959,0,NM_006815,transmembrane p24 trafficking protein 2,TMED2
304,200088_x_at,6136,1,AK026491,ribosomal protein L12,RPL12
305,200809_x_at,6136,0,NM_000976,ribosomal protein L12,RPL12
306,214271_x_at,6136,0,AA281332,ribosomal protein L12,RPL12
307,200088_x_at,65065,1,AK026491,neurobeachin like 1,NBEAL1
308,200089_s_at,6124,1,AI953886,ribosomal protein L4,RPL4
309,201154_x_at,6124,1,NM_000968,ribosomal protein L4,RPL4
310,211710_x_at,6124,1,BC005817,ribosomal protein L4,RPL4
311,200089_s_at,595097,1,AI953886,"small nucleolar RNA, C/D box 16",SNORD16
312,201154_x_at,595097,1,NM_000968,"small nucleolar RNA, C/D box 16",SNORD16
313,211710_x_at,595097,1,BC005817,"small nucleolar RNA, C/D box 16",SNORD16
314,200089_s_at,595098,1,AI953886,"small nucleolar RNA, C/D box 18A",SNORD18A
315,201154_x_at,595098,1,NM_000968,"small nucleolar RNA, C/D box 18A",SNORD18A
316,211710_x_at,595098,1,BC005817,"small nucleolar RNA, C/D box 18A",SNORD18A
317,200089_s_at,595099,1,AI953886,"small nucleolar RNA, C/D box 18B",SNORD18B
318,201154_x_at,595099,1,NM_000968,"small nucleolar RNA, C/D box 18B",SNORD18B
319,211710_x_at,595099,1,BC005817,"small nucleolar RNA, C/D box 18B",SNORD18B
320,200089_s_at,595100,1,AI953886,"small nucleolar RNA, C/D box 18C",SNORD18C
321,201154_x_at,595100,1,NM_000968,"small nucleolar RNA, C/D box 18C",SNORD18C
322,211710_x_at,595100,1,BC005817,"small nucleolar RNA, C/D box 18C",SNORD18C
323,200090_at,2339,0,BG168896,"farnesyltransferase, CAAX box, alpha",FNTA
324,209471_s_at,2339,0,L00634,"farnesyltransferase, CAAX box, alpha",FNTA
325,200091_s_at,6230,0,AA888388,ribosomal protein S25,RPS25
326,200092_s_at,6167,0,BF216701,ribosomal protein L37,RPL37
327,200093_s_at,3094,0,N32864,histidine triad nucleotide binding protein 1,HINT1
328,207721_x_at,3094,0,NM_005340,histidine triad nucleotide binding protein 1,HINT1
329,208826_x_at,3094,0,U27143,histidine triad nucleotide binding protein 1,HINT1
330,200094_s_at,1938,0,AI004246,eukaryotic translation elongation factor 2,EEF2
331,204102_s_at,1938,0,NM_001961,eukaryotic translation elongation factor 2,EEF2
332,200095_x_at,6204,0,AA320764,ribosomal protein S10,RPS10
333,200817_x_at,6204,0,NM_001014,ribosomal protein S10,RPS10
334,211542_x_at,6204,0,BC004334,ribosomal protein S10,RPS10
335,214001_x_at,6204,0,AW302047,ribosomal protein S10,RPS10
336,200096_s_at,8992,0,AI862255,ATPase H+ transporting V0 subunit e1,ATP6V0E1
337,201171_at,8992,0,NM_003945,ATPase H+ transporting V0 subunit e1,ATP6V0E1
338,201172_x_at,8992,0,NM_003945,ATPase H+ transporting V0 subunit e1,ATP6V0E1
339,214149_s_at,8992,0,AI252582,ATPase H+ transporting V0 subunit e1,ATP6V0E1
340,214150_x_at,8992,0,BE043477,ATPase H+ transporting V0 subunit e1,ATP6V0E1
341,214244_s_at,8992,0,AV717561,ATPase H+ transporting V0 subunit e1,ATP6V0E1
342,200097_s_at,3190,0,AI701949,heterogeneous nuclear ribonucleoprotein K,HNRNPK
343,200775_s_at,3190,0,BC000355,heterogeneous nuclear ribonucleoprotein K,HNRNPK
344,200098_s_at,51433,0,T33068,anaphase promoting complex subunit 5,ANAPC5
345,208721_s_at,51433,0,BF967271,anaphase promoting complex subunit 5,ANAPC5
346,208722_s_at,51433,0,BC001081,anaphase promoting complex subunit 5,ANAPC5
347,211036_x_at,51433,0,BC006301,anaphase promoting complex subunit 5,ANAPC5
348,200099_s_at,6189,1,AL356115,ribosomal protein S3A,RPS3A
349,201257_x_at,6189,1,NM_001006,ribosomal protein S3A,RPS3A
350,212391_x_at,6189,1,AI925635,ribosomal protein S3A,RPS3A
